Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame

0.003261089324951172,9,6,0.0055539608001708984,12,10,0.0044078826904296875,14,13,0.001207113265991211,11,1,0.0036551952362060547,9,7,0.009113073348999023,12,10,0.0072820186614990234,14,12,0.0017499923706054688,11,0,0.004889965057373047,24,AnalysisData/frame707.jpg
0.003031015396118164,17,14,0.005530834197998047,13,11,0.004477024078369141,26,12,0.0011949539184570312,13,0,0.003450155258178711,17,15,0.010167121887207031,13,5,0.007142066955566406,26,5,0.0017180442810058594,13,0,0.0053861141204833984,41,AnalysisData/frame2955.jpg
0.0030329227447509766,9,10,0.005677938461303711,10,10,0.004503011703491211,31,10,0.0012569427490234375,12,2,0.003659963607788086,9,8,0.009083986282348633,11,8,0.007232189178466797,32,8,0.0019140243530273438,15,0,0.004868030548095703,35,AnalysisData/frame1139.jpg
0.0029828548431396484,3,0,0.005796909332275391,0,0,0.004278898239135742,0,0,0.0011451244354248047,0,0,0.003443002700805664,3,0,0.008941888809204102,0,0,0.007319927215576172,0,0,0.0017139911651611328,0,0,0.004885196685791016,16,AnalysisData/frame196.jpg
0.0024919509887695312,16,8,0.005491971969604492,20,20,0.004177093505859375,33,19,0.0011658668518066406,26,3,0.0034248828887939453,16,14,0.009025096893310547,23,13,0.00733184814453125,34,13,0.001789093017578125,30,0,0.004781961441040039,13,AnalysisData/frame1001.jpg
0.003049135208129883,25,20,0.006217002868652344,22,23,0.004330158233642578,33,23,0.0011560916900634766,23,2,0.00360107421875,25,18,0.009152889251708984,22,23,0.007110118865966797,33,24,0.0020101070404052734,23,1,0.00508880615234375,39,AnalysisData/frame1644.jpg
0.0030629634857177734,11,12,0.005659818649291992,21,21,0.005228996276855469,61,23,0.0012080669403076172,22,3,0.003615140914916992,15,23,0.008723020553588867,23,17,0.007467031478881836,62,17,0.0017750263214111328,23,0,0.005077838897705078,33,AnalysisData/frame2732.jpg
0.003062009811401367,16,14,0.0054931640625,20,17,0.0044248104095458984,52,20,0.0012178421020507812,19,3,0.0035250186920166016,16,14,0.009240865707397461,20,24,0.007133007049560547,52,24,0.0018620491027832031,19,2,0.005027055740356445,25,AnalysisData/frame319.jpg
0.002825021743774414,16,6,0.004584074020385742,8,10,0.0034089088439941406,0,13,0.0017819404602050781,0,1,0.0034928321838378906,32,7,0.011395931243896484,47,10,0.006751060485839844,19,12,0.0018229484558105469,38,0,0.005110025405883789,24,AnalysisData/frame707.jpg
0.0031440258026123047,15,6,0.004500150680541992,0,10,0.0034880638122558594,0,13,0.0012819766998291016,0,1,0.0033788681030273438,30,7,0.008857965469360352,39,10,0.0068149566650390625,16,12,0.001714944839477539,27,0,0.004826068878173828,24,AnalysisData/frame707.jpg
0.0028438568115234375,15,6,0.004481077194213867,0,10,0.003435850143432617,0,13,0.0011191368103027344,0,1,0.003503084182739258,30,7,0.008762121200561523,39,10,0.006695985794067383,16,12,0.0016279220581054688,27,0,0.004812002182006836,24,AnalysisData/frame707.jpg
0.0030670166015625,15,8,0.005940914154052734,200,9,0.004797935485839844,0,9,0.0012171268463134766,0,1,0.003506183624267578,17,15,0.009716987609863281,2,17,0.007550954818725586,121,21,0.0018849372863769531,200,1,0.0055959224700927734,23,AnalysisData/frame2187.jpg
0.0037140846252441406,15,8,0.017258882522583008,200,9,0.0072710514068603516,0,9,0.0036869049072265625,0,1,0.008649826049804688,17,15,0.010214090347290039,2,17,0.007458925247192383,121,21,0.0019249916076660156,200,1,0.009180068969726562,23,AnalysisData/frame2187.jpg
0.0031349658966064453,15,8,0.005927085876464844,200,9,0.004827022552490234,0,9,0.0011749267578125,0,1,0.003464937210083008,17,15,0.00947880744934082,2,17,0.008003950119018555,121,21,0.0019350051879882812,200,1,0.005294084548950195,23,AnalysisData/frame2187.jpg
