Area,Time,Tag,Frame,HoG Validation,HoG Time,CNN Validation,CNN Time

[894 83 71 113],0.000171899795532,Clustering,AnalysisData/frame707.jpg,True,0.000968217849731,True,0.0806088447571
[402 81 59 91],0.000171899795532,Clustering,AnalysisData/frame707.jpg,True,0.000992059707642,True,0.0494980812073
[898 85 64 115],0.00113201141357,FiedSuppGen,AnalysisData/frame707.jpg,True,0.00097393989563,True,0.0462229251862
[413 84 39 98],0.00113201141357,FiedSuppGen,AnalysisData/frame707.jpg,True,0.000956058502197,True,0.052561044693
[469 236 65 202],0.000335931777954,Clustering,AnalysisData/frame2955.jpg,False,0.000813961029053,False,0.0474209785461
[342 232 59 84],0.000335931777954,Clustering,AnalysisData/frame2955.jpg,True,0.00102996826172,False,0.0484509468079
[801 221 63 90],0.000335931777954,Clustering,AnalysisData/frame2955.jpg,True,0.00103688240051,False,0.047945022583
[473 240 56 200],0.0020899772644,FiedSuppGen,AnalysisData/frame2955.jpg,False,0.000961065292358,False,0.04620885849
[346 222 50 95],0.0020899772644,FiedSuppGen,AnalysisData/frame2955.jpg,True,0.00108480453491,False,0.0471839904785
[805 224 20 87],0.0020899772644,FiedSuppGen,AnalysisData/frame2955.jpg,True,0.000911951065063,False,0.0463070869446
[839 265 20 46],0.0020899772644,FiedSuppGen,AnalysisData/frame2955.jpg,False,0.000952005386353,True,0.0468111038208
[570 1 157 235],0.000213146209717,Clustering,AnalysisData/frame1139.jpg,False,0.000892877578735,True,0.0454058647156
[1218 166 29 208],0.000213146209717,Clustering,AnalysisData/frame1139.jpg,False,0.000927925109863,False,0.0482671260834
[574 7 104 230],0.00231409072876,FiedSuppGen,AnalysisData/frame1139.jpg,False,0.000936985015869,True,0.0468559265137
[701 44 21 64],0.00231409072876,FiedSuppGen,AnalysisData/frame1139.jpg,False,0.000938892364502,True,0.0484709739685
[1222 173 24 70],0.00231409072876,FiedSuppGen,AnalysisData/frame1139.jpg,False,0.000921964645386,False,0.0454890727997
[231 99 71 105],0.000396013259888,Clustering,AnalysisData/frame1001.jpg,True,0.000887155532837,True,0.0459179878235
[764 100 99 122],0.000396013259888,Clustering,AnalysisData/frame1001.jpg,False,0.00101494789124,True,0.0452411174774
[657 98 106 192],0.000396013259888,Clustering,AnalysisData/frame1001.jpg,True,0.00101494789124,True,0.0483360290527
[661 200 119 99],0.00159597396851,FiedSuppGen,AnalysisData/frame1001.jpg,True,0.00102114677429,True,0.0461120605469
[235 98 63 108],0.00159597396851,FiedSuppGen,AnalysisData/frame1001.jpg,True,0.00102305412292,True,0.0484530925751
[798 179 61 21],0.00159597396851,FiedSuppGen,AnalysisData/frame1001.jpg,False,0.00137305259705,True,0.0460011959076
[463 199 28 64],0.00216484069824,Clustering,AnalysisData/frame1644.jpg,False,0.000879049301147,False,0.0473229885101
[769 216 23 60],0.00216484069824,Clustering,AnalysisData/frame1644.jpg,True,0.000991106033325,True,0.0453259944916
[325 199 44 148],0.00216484069824,Clustering,AnalysisData/frame1644.jpg,True,0.000964879989624,True,0.0466179847717
[1078 199 114 272],0.00216484069824,Clustering,AnalysisData/frame1644.jpg,False,0.0010039806366,True,0.046003818512
[1022 248 50 203],0.00216484069824,Clustering,AnalysisData/frame1644.jpg,False,0.000930070877075,True,0.049241065979
[1026 201 161 276],0.0028018951416,FiedSuppGen,AnalysisData/frame1644.jpg,True,0.000959157943726,True,0.0458419322968
[332 203 32 151],0.0028018951416,FiedSuppGen,AnalysisData/frame1644.jpg,True,0.000931024551392,False,0.0468001365662
[467 202 30 97],0.0028018951416,FiedSuppGen,AnalysisData/frame1644.jpg,True,0.000979900360107,True,0.0513548851013
[773 203 20 77],0.0028018951416,FiedSuppGen,AnalysisData/frame1644.jpg,True,0.00115895271301,True,0.0461020469666
[516 124 62 95],0.000396013259888,Clustering,AnalysisData/frame2732.jpg,True,0.00110411643982,False,0.0465660095215
[32 126 63 91],0.000396013259888,Clustering,AnalysisData/frame2732.jpg,True,0.000998973846436,False,0.0477550029755
[1000 127 78 126],0.000396013259888,Clustering,AnalysisData/frame2732.jpg,True,0.000978946685791,False,0.0459799766541
[375 129 132 335],0.000396013259888,Clustering,AnalysisData/frame2732.jpg,False,0.00097393989563,False,0.0485198497772
[379 133 144 332],0.00297212600708,FiedSuppGen,AnalysisData/frame2732.jpg,True,0.000921964645386,False,0.0478510856628
[1004 131 65 131],0.00297212600708,FiedSuppGen,AnalysisData/frame2732.jpg,True,0.00100803375244,False,0.0460979938507
[44 128 44 91],0.00297212600708,FiedSuppGen,AnalysisData/frame2732.jpg,True,0.00100612640381,False,0.0472919940948
[530 129 37 90],0.00297212600708,FiedSuppGen,AnalysisData/frame2732.jpg,True,0.00100302696228,False,0.0473568439484
[1004 179 7 21],0.00297212600708,FiedSuppGen,AnalysisData/frame2732.jpg,True,0.000890016555786,True,0.0466120243073
[45 177 27 57],0.000347852706909,Clustering,AnalysisData/frame2187.jpg,False,0.000959873199463,False,0.0837969779968
[76 171 802 596],0.000347852706909,Clustering,AnalysisData/frame2187.jpg,False,0.00130701065063,False,0.0510292053223
[859 172 17 84],0.00238800048828,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.00090503692627,True,0.0552139282227
[76 222 8 34],0.00238800048828,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000941038131714,False,0.0593898296356
[50 177 14 79],0.00238800048828,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000962972640991,False,0.0624279975891
[837 240 10 9],0.00238800048828,FiedSuppGen,AnalysisData/frame2187.jpg,True,0.00182795524597,True,0.0501201152802
[45 177 27 57],0.000349044799805,Clustering,AnalysisData/frame2187.jpg,False,0.00101709365845,False,0.0860269069672
[76 171 802 596],0.000349044799805,Clustering,AnalysisData/frame2187.jpg,False,0.000951051712036,False,0.0459280014038
[859 172 17 84],0.00235390663147,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000957012176514,True,0.0477209091187
[76 222 8 34],0.00235390663147,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000906944274902,False,0.0493080615997
[50 177 14 79],0.00235390663147,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000970840454102,False,0.0467531681061
[837 240 10 9],0.00235390663147,FiedSuppGen,AnalysisData/frame2187.jpg,True,0.000898838043213,True,0.0461750030518
[45 177 27 57],0.00031304359436,Clustering,AnalysisData/frame2187.jpg,False,0.00159597396851,False,0.331408977509
[76 171 802 596],0.00031304359436,Clustering,AnalysisData/frame2187.jpg,False,0.00093412399292,False,0.0496299266815
[859 172 17 84],0.00231099128723,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.000876903533936,True,0.0550701618195
[76 222 8 34],0.00231099128723,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.00123310089111,False,0.0533239841461
[50 177 14 79],0.00231099128723,FiedSuppGen,AnalysisData/frame2187.jpg,False,0.00116896629333,False,0.0496969223022
[837 240 10 9],0.00231099128723,FiedSuppGen,AnalysisData/frame2187.jpg,True,0.000922918319702,True,0.0500810146332
