Goal Area,Classification,Time,Tag,Frame

[510 239 131 56],Complete Goal,0.000123977661133,DoG_StatAreas,AnalysisData/frame1970.jpg
[521 176 99 121],Partial Goal,0.0106709003448,DoG_FieldPostTrans,AnalysisData/frame1970.jpg
[599 192 42 121],Partial Goal,0.000155925750732,DoG_FuzzyLogic,AnalysisData/frame1970.jpg
[507 259 145 41],Complete Goal,0.000108003616333,Lap_StatAreas,AnalysisData/frame1970.jpg
[627 249 0 60],Partial Goal,0.00332903862,Lap_FieldPostTrans,AnalysisData/frame1970.jpg
[603 254 49 60],Partial Goal,8.39233398438e-05,Lap_FuzzyLogic,AnalysisData/frame1970.jpg
[1222 1 25 148],Complete Goal,9.70363616943e-05,DoG_StatAreas,AnalysisData/frame2304.jpg
[1222 1 25 148],Complete Goal,0.000103950500488,DoG_FieldPostTrans,AnalysisData/frame2304.jpg
[1222 1 25 148],Complete Goal,8.48770141602e-05,DoG_FuzzyLogic,AnalysisData/frame2304.jpg
[1153 213 47 67],Partial Goal,8.48770141602e-05,DoG_StatAreas,AnalysisData/frame1943.jpg
[1164 202 12 79],Partial Goal,0.0047390460968,DoG_FieldPostTrans,AnalysisData/frame1943.jpg
[1153 205 47 79],Partial Goal,0.000100135803223,DoG_FuzzyLogic,AnalysisData/frame1943.jpg
[483 199 15 63],Error in Detection,0.000133991241455,DoG_StatAreas,AnalysisData/frame1770.jpg
[483 199 15 63],Error in Detection,6.60419464111e-05,DoG_FieldPostTrans,AnalysisData/frame1770.jpg
[483 199 15 63],Error in Detection,5.69820404053e-05,DoG_FuzzyLogic,AnalysisData/frame1770.jpg
[1 5 331 199],Complete Goal,0.000630855560303,DoG_StatAreas,AnalysisData/frame554.jpg
[1 5 331 199],Complete Goal,0.000647068023682,DoG_FieldPostTrans,AnalysisData/frame554.jpg
[1 5 331 199],Complete Goal,0.00055718421936,DoG_FuzzyLogic,AnalysisData/frame554.jpg
[436 187 168 57],Complete Goal,0.000160932540894,DoG_StatAreas,AnalysisData/frame1661.jpg
[448 148 0 79],Partial Goal,0.0101671218872,DoG_FieldPostTrans,AnalysisData/frame1661.jpg
