Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0030610561,18,17,0.0055091381,0,16,0.0044329166,0,17,0.000868082,0,1,0.0037798882,24,18,0.0129518509,54,14,0.0074460506,41,14,0.0012259483,64,0,0.0051779747,44,AnalysisData/frame2240.jpg
0.004557848,12,7,0.0057380199,0,10,0.0042791367,0,10,0.0011258125,0,0,0.0064730644,32,7,0.0096719265,11,10,0.0079829693,2,10,0.0016300678,6,0,0.006816864,28,AnalysisData/frame682.jpg
0.0028469563,16,11,0.0056269169,0,18,0.0042099953,0,19,0.0011689663,0,6,0.00355196,27,18,0.0092430115,70,16,0.0080850124,68,16,0.001663208,115,0,0.0051040649,20,AnalysisData/frame1133.jpg
0.0055689812,11,9,0.0059039593,0,9,0.0041139126,0,12,0.0011849403,0,0,0.0062799454,33,10,0.0115890503,52,5,0.0075798035,28,5,0.0017030239,36,0,0.0078990459,93,AnalysisData/frame1970.jpg
0.0056250095,28,20,0.0062048435,0,25,0.0039839745,0,25,0.0011670589,0,0,0.006057024,74,29,0.0093770027,65,15,0.0076198578,35,15,0.0019929409,51,0,0.0071549416,50,AnalysisData/frame1901.jpg
0.0053761005,15,7,0.0058948994,0,14,0.0043079853,0,14,0.0012030602,0,5,0.0064771175,16,8,0.0107581615,65,17,0.0085759163,33,18,0.0024011135,72,1,0.0078010559,43,AnalysisData/frame2304.jpg
0.0029520988,11,12,0.0055091381,0,18,0.0045151711,0,18,0.001349926,0,1,0.0031919479,15,27,0.0095329285,58,23,0.0076858997,108,23,0.0018410683,174,0,0.0052440166,22,AnalysisData/frame1214.jpg
0.0054039955,9,16,0.005163908,0,12,0.0037088394,0,12,0.0015759468,0,0,0.0032250881,36,10,0.0090398788,58,7,0.0063040257,34,7,0.0018188953,68,0,0.005656004,50,AnalysisData/frame2844.jpg
0.002669096,15,2,0.0055010319,0,13,0.004224062,0,16,0.0014600754,0,4,0.0034370422,16,30,0.0101950169,46,28,0.0047829151,133,28,0.0021798611,200,0,0.0052068233,25,AnalysisData/frame1166.jpg
0.0037250519,24,14,0.0055270195,0,15,0.0044560432,0,16,0.0005941391,0,3,0.0031619072,32,13,0.0107278824,78,24,0.0081188679,65,25,0.0036849976,98,0,0.0033988953,12,AnalysisData/frame1439.jpg
0.0056340694,13,12,0.0023169518,0,12,0.0041370392,0,12,0.0012700558,0,0,0.0031659603,46,14,0.0095791817,54,7,0.0097019672,30,7,0.0034849644,39,0,0.0050690174,22,AnalysisData/frame2173.jpg
0.0026061535,22,9,0.0053191185,0,14,0.0077869892,0,16,0.0012950897,0,2,0.0030620098,25,15,0.0094869137,86,18,0.008300066,82,18,0.0019710064,132,0,0.0050890446,32,AnalysisData/frame2713.jpg
0.0026040077,15,18,0.0056660175,0,15,0.0038161278,0,15,0.0011689663,0,3,0.0037138462,36,18,0.0124530792,48,14,0.0078620911,14,16,0.0016698837,32,1,0.0050029755,21,AnalysisData/frame744.jpg
0.0042891502,18,9,0.005382061,0,17,0.0049750805,0,16,0.0012049675,0,6,0.0029051304,22,11,0.0095419884,61,4,0.0078690052,36,4,0.0016999245,66,0,0.0047669411,33,AnalysisData/frame1117.jpg
0.0012671947,15,14,0.0053291321,0,10,0.0037178993,0,13,0.001237154,0,0,0.0032618046,37,13,0.0096638203,21,13,0.0080640316,6,13,0.0015499592,19,0,0.0057530403,68,AnalysisData/frame1785.jpg
0.002571106,24,13,0.005302906,0,16,0.0039417744,0,16,0.0011589527,0,6,0.0036981106,35,15,0.0100250244,68,22,0.0079369545,53,22,0.0017459393,108,0,0.005384922,8,AnalysisData/frame1442.jpg
0.0030050278,17,26,0.004928112,0,18,0.0041558743,0,18,0.0009489059,0,0,0.0038402081,75,15,0.0095319748,73,9,0.0077400208,39,9,0.0012710094,59,0,0.0050878525,22,AnalysisData/frame1943.jpg
0.0026249886,22,3,0.0057218075,0,13,0.0038199425,0,13,0.0009181499,0,2,0.0034630299,39,16,0.0095500946,72,9,0.0079391003,45,9,0.0017168522,73,0,0.0046958923,37,AnalysisData/frame2435.jpg
